NameofSatellite	Country	Owner	Users	Purpose	ClassofOrbit	Perigeekm	Apogeekm	Eccentricity	Inclinationdegrees	Radius	Periodminutes	LaunchMass	DateofLaunch	ExpectedLifetime	LaunchSite	LaunchVehicle	major	minor	focus	theta	x	y	cx	cy	r
AIST-2	Russia	"Samara State Aerospace University, SGAU,Russia"	Civil	Technology Development	LEO	558	582	0.00173	64.88	0.0053000	96.060	53.00	19/04/2013	3 yrs.	Baikonur Cosmodrome	Soyuz 2.1a	570.00000	569.99915	0.9861	0	570	0	0.9861	0	570
AIST-2D	Russia	"Samara State Aerospace University,Russia"	Civil	Technology Development	LEO	471	486	0.0011	97.28	0.0531000	94.180	531.00	27/04/2016	3 yrs.	Vostochny Cosmodrome	Soyuz 2.1a	478.50000	478.49971	0.52635	0	478.5	0	0.52635	0	478.5
Al-Farabi-1	NR (9/17)	"Al-Farabi Kazakh National University,Kazakhstan"	Civil	Technology Development	LEO	497	497	0	97.5	0.0002000	94.500	2.00	15/02/2017	3 yrs.	Satish Dhawan Space Centre	PSLV XL	497.00000	497.00000	0	0	497	0	0	0	497
ALiCEξξ(AFIT LEO iMESA CNT E)	NR	"US Air Force Institute of Technology,USA"	Military	Technology Development	LEO	443	886	0.0315	120.3	0.0005000	98.000	5.00	06/12/2013	3 yrs.	Vandenberg AFB	Atlas 5	664.50000	664.17024	20.93175	0	664.5	0	20.93175	0	664.5
Alphasat I-XLξξ(Inmarsat IV-A F4)	United Kingdom	"INMARSAT, Ltd./European Space Agency,United Kingdom/ESA"	Commercial/Government	Communications/Technology Development	GEO	35786	35787	0.0000119	0.02	0.6650000	1436.090	6650.00	25/07/2013	15 yrs.	Guiana Space Center	Ariane 5 ECA	35786.50000	35786.50000	0.42553	0	35786.5	0	0.42553	0	35786.5
Alsat 2B	NR (12/16)	"Algerian Space Agency (ASAL),Algeria"	Government	Earth Observation	LEO	646	660	0.000997	98.2	0.0117000	97.700	117.00	26/09/2016	5 yrs.	Satish Dhawan Space Centre	PSLV	653.00000	652.99968	0.65104	0	653	0	0.65104	0	653
Alsat-1B	NR (12/16)	"Algerian Space Agency (ASAL),Algeria"	Government	Earth Observation	LEO	661	704	0.00305	98.2	0.0103000	98.400	103.00	26/09/2016	5 yrs.	Satish Dhawan Space Centre	PSLV	682.50000	682.49683	2.08162	0	682.5	0	2.08162	0	682.5
AlSat-1N	NR (12/16)	"Algerian Space Agency (ASAL)/UK Space Agency,Algeria"	Government	Technology Development	LEO	661	698	0.00262	98.2	0.0010000	98.300	10.00	26/09/2016	5 yrs.	Satish Dhawan Space Centre	PSLV	679.50000	679.49767	1.78029	0	679.5	0	1.78029	0	679.5
Alsat-2A (Algeria Satellite 2A)	Algeria	"Algerian Space Agency (ASAL),Algeria"	Government	Earth Observation	LEO	672	674	0.000142	98.1	0.0130000	98.200	130.00	12/07/2010	5 yrs.	Satish Dhawan Space Centre	PSLV	673.00000	672.99999	0.09557	0	673	0	0.09557	0	673
Altair-1 (Altair Pathfinder)	NR (10/17)	"Millennium Space Systems,USA"	Commercial	Technology Demonstration	LEO	401	404	0.000221	51.6	0.0010000	92.600	10.00	18/05/2017	.25 yrs.	International Space Station	Nanorack Deployer	402.50000	402.49999	0.08895	0	402.5	0	0.08895	0	402.5
