NameofSatellite,Country/Org of UN Registry,Owner,Users,Purpose,ClassOfOrbit,Perigee (km),Apogee (km),Eccentricity,Inclination,Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime,Launch Site,Launch Vehicle
Dove 3p-80 (0 Flock 3P-80 0F4E),NR (10/17),"Planet Labs, Inc.,USA",Commercial,Earth Observation,LEO,496,506,7.28E-04,97.5,94.6,4,14/02/2017,null,Satish Dhawan Space Centre,PSLV
Dove 3p-81 (0 Flock 3P-81 0F25),NR (10/17),"Planet Labs, Inc.,USA",Commercial,Earth Observation,LEO,494,506,8.73E-04,97.5,94.6,4,14/02/2017,null,Satish Dhawan Space Centre,PSLV
Dove 3p-82 (0 Flock 3P-82 0F41),NR (10/17),"Planet Labs, Inc.,USA",Commercial,Earth Observation,LEO,494,506,8.73E-04,97.5,94.6,4,14/02/2017,null,Satish Dhawan Space Centre,PSLV
Dove 3p-83 (0 Flock 3P-83 0F3F),NR (10/17),"Planet Labs, Inc.,USA",Commercial,Earth Observation,LEO,494,507,9.46E-04,97.5,94.6,4,14/02/2017,null,Satish Dhawan Space Centre,PSLV
Dove 3p-84 (0 Flock 3P-84 0F42),NR (10/17),"Planet Labs, Inc.,USA",Commercial,Earth Observation,LEO,495,506,8.01E-04,97.5,94.6,4,14/02/2017,null,Satish Dhawan Space Centre,PSLV
Dove 3p-85 (0 Flock 3P-85 0F1D),NR (10/17),"Planet Labs, Inc.,USA",Commercial,Earth Observation,LEO,495,505,7.28E-04,97.5,94.6,4,14/02/2017,null,Satish Dhawan Space Centre,PSLV
Dove 3p-86 (0 Flock 3P-86 0F34),NR (10/17),"Planet Labs, Inc.,USA",Commercial,Earth Observation,LEO,495,505,7.28E-04,97.5,94.6,4,14/02/2017,null,Satish Dhawan Space Centre,PSLV
Dove 3p-87  (0 Flock 3P-87 0F31),NR (10/17),"Planet Labs, Inc.,USA",Commercial,Earth Observation,LEO,494,506,8.73E-04,97.5,94.6,4,14/02/2017,null,Satish Dhawan Space Centre,PSLV
Dove 3p-88 (0 Flock 3P-88 0F38),NR (10/17),"Planet Labs, Inc.,USA",Commercial,Earth Observation,LEO,495,506,8.01E-04,97.5,94.6,4,14/02/2017,null,Satish Dhawan Space Centre,PSLV
Dove 3p-9 (0 Flock 3P-9 1021),NR (10/17),"Planet Labs, Inc.,USA",Commercial,Earth Observation,LEO,496,506,7.28E-04,97.5,94.6,4,14/02/2017,null,Satish Dhawan Space Centre,PSLV
Dove3p-66 (0 Flock 3P-66 1013),NR (10/17),"Planet Labs, Inc.,USA",Commercial,Earth Observation,LEO,495,503,5.82E-04,97.5,94.6,4,14/02/2017,null,Satish Dhawan Space Centre,PSLV
Dove3p-75  (0 Flock 3P-75 0F12),NR (10/17),"Planet Labs, Inc.,USA",Commercial,Earth Observation,LEO,495,506,8.01E-04,97.5,94.6,4,14/02/2017,null,Satish Dhawan Space Centre,PSLV
"DRTS (Data Relay Test Satellite, Kodama)",Japan,"National Space Development Agency,Japan",Government,Technology Development,GEO,"35,775","35,799",2.85E-04,0.02,1436.12,"2,650",10/9/2002,7 yrs.,Tanegashima Space Center,H2A
D-Sat,NR (10/17),"D-Orbit,Italy",Commercial,Technology Demonstration,LEO,497,516,1.38E-03,97.45,94.7,4,23/06/2017,null,Satish Dhawan Space Centre,PSLV
"DSCS III-A3 (USA 167, DSCS III-A3) (Defense Satellite Communications System)",USA,"US Air Force,USA",Military,Communications,GEO,"35,771","35,802",3.68E-04,0.03,1436.12,"1,156",11/3/2003,10 yrs.,Cape Canaveral,Atlas 2A
"DSCS III-B6 (USA 170, DSCS III B-6) (Defense Satellite Communications System)",USA,"US Air Force,USA",Military,Communications,GEO,"35,760","35,814",6.40E-04,0.05,1436.1,"1,156",29/08/2003,10 yrs.,Cape Canaveral,Delta 4
"DSCS III-F10 (USA 135, DSCS III B-13) (Defense Satellite Communications System)",USA,"US Air Force,USA",Military,Communications,GEO,"35,757","35,817",7.12E-04,2.54,1436.1,"1,156",24/10/1997,10 yrs.,Cape Canaveral,Delta 4
"DSCS III-F11 (USA 148, DSCS III B-8) (Defense Satellite Communications System)",USA,"US Air Force,USA",Military,Communications,GEO,"35,706","35,868",1.92E-03,0.01,1436.13,"1,156",1/1/2000,10 yrs.,Cape Canaveral,Atlas 2A
"DSCS III-F12 (USA 153, DSCS III B-11) (Defense Satellite Communications System)",USA,"US Air Force,USA",Military,Communications,GEO,"35,774","35,799",2.97E-04,0.04,1436.12,"1,156",20/10/2000,10 yrs.,Cape Canaveral,Atlas 2A
"DSCS III-F9 (USA 113, DSCS III B-7) (Defense Satellite Communications System)",USA,"US Air Force,USA",Military,Communications,GEO,"35,784","35,784",0.00E+00,0,1436.1,"1,156",31/07/1995,10 yrs.,Cape Canaveral,Atlas 2A
DSP 18 (USA 130) (Defense Support Program),USA,"Air Force,USA",Military,Earth Observation,GEO,"35,780","35,800",2.37E-04,0.1,1436.27,"2,380",23/02/1997,5 yrs.,Cape Canaveral,Titan IVB
DSP 20 (USA 149) (Defense Support Program),USA,"Air Force,USA",Military,Earth Observation,GEO,"35,897","35,909",1.42E-04,4.08,142.08,"2,380",18/05/2000,7-9 yrs.,Cape Canaveral,Titan IVB
DSP 21 (USA 159) (Defense Support Program),USA,"Air Force,USA",Military,Earth Observation,GEO,"35,765","35,810",5.34E-04,3.68,1436.14,"2,380",6/8/2001,7-9 yrs.,Cape Canaveral,Titan 4B
DSP 22 (USA 176) (Defense Support Program),USA,"Air Force,USA",Military,Earth Observation,GEO,"35,741","35,832",1.08E-03,1.41,1436.12,"2,380",14/02/2004,7-9 yrs.,Cape Canaveral,Titan 4B
DubaiSat-1,United Arab Emirates,"Emirates Institution for Advanced Science & Technology (EIAST),United Arab Emirates",Government,Earth Observation,LEO,662,680,1.28E-03,98,98.2,200,29/07/2009,5 yrs.,Baikonur Cosmodrome,Dnepr
DubaiSat-2,United Arab Emirates,"Emirates Institution for Advanced Science & Technology (EIAST),United Arab Emirates",Government,Earth Observation,LEO,585,603,1.29E-03,97.8,96.56,300,21/11/2013,5 yrs.,Dombarovsky Air Base,Dnepr
Duchifat-1,NR,"Herzliya Science Centre (HSC),Israel",Civil,Communications,LEO,601,623,1.58E-03,97.97,96.93,1,19/06/2014,null,Dombarovsky Air Base,Dnepr
DX-1 (Dauria Experimental 1),Russia,"Dauria Aerospace,Russia",Commercial,Communications,LEO,626,636,7.14E-04,98.4,97.33,27,8/7/2014,null,Baikonur Cosmodrome,Soyuz-2.1b
Echostar 1 ,USA,"QuetzSat, S. de R.L. de C.V. (leased from Echostar Technologies, LLC),Mexico",Commercial,Communications,GEO,"35,776","35,795",2.25E-04,0.01,1436.07,"3,287",28/12/1995,12 yrs.,Xichang Satellite Launch Center,Long March 2E
Echostar 10,USA,"Echostar Satellite Services, LLC,USA",Commercial,Communications,GEO,"35,780","35,792",1.42E-04,0.06,1436,"4,333",15/02/2006,15 yrs.,Sea Launch Odyssey,Zenit 3SL
Echostar 11,USA,"Echostar Satellite Services, LLC,USA",Commercial,Communications,GEO,"35,778","35,793",1.78E-04,0.03,1436.1,"5,500",16/07/2008,15 yrs.,Sea Launch Odyssey,Zenit 3SL
Echostar 12 (Rainbow-1) ,USA,"Echostar Satellite Services, LLC,USA",Commercial,Communications,GEO,"35,782","35,791",1.07E-04,0.06,1436.11,"4,328",17/07/2003,18 yrs.,Cape Canaveral,Atlas 5
Echostar 14,USA,"Echostar Satellite Services, LLC,USA",Commercial,Communications,GEO,"35,785","35,789",4.74E-05,0.05,1436.11,"6,384",20/03/2010,15 yrs.,Baikonur Cosmodrome,Proton M
Echostar 15,USA,"Echostar Satellite Services, LLC,USA",Commercial,Communications,GEO,"35,789","35,803",1.66E-04,0.07,1436.57,"5,521",10/7/2010,15 yrs.,Baikonur Cosmodrome,Proton M
Echostar 16,USA,"Echostar Satellite Services, LLC,USA",Commercial,Communications,GEO,"35,776","35,796",2.37E-04,0.05,1436.06,"6,658",20/11/2012,15 yrs.,Baikonur Cosmodrome,Proton M
Echostar 17,USA,"Echostar Satellite Services, LLC,USA",Commercial,Communications,GEO,"35,781","35,794",1.54E-04,0.01,1436.13,"6,100",5/7/2012,15 yrs.,Guiana Space Center,Ariane 5 ECA
Echostar 18,NR (12/16),"Echostar Satellite Services, LLC,USA",Commercial,Communications,GEO,"35,692","35,788",1.14E-03,0.08,1436.3,"6,300",19/06/2016,15 yrs.,Guiana Space Center,Ariane 5 ECA
Echostar 19,NR (1/17),"HughesNet leased from Echostar Technologies, LLC,USA",Commercial,Communications,GEO,"35,771","35,796",2.97E-04,0.2,1436.3,"6,764",18/12/2016,15 yrs.,Cape Canaveral,Atlas 5
Echostar 21 (TerreStar 2),NR 10/17),"Echostar Satellite Services, LLC,USA",Commercial,Communications,GEO,"35,773","35,799",3.08E-04,7.35,1436.1,"6,900",7/6/2017,15 yrs.,Baikonur Cosmodrome,Proton
Echostar 23,NR (9/17),"Echostar Satellite Services, LLC,USA",Commercial,Communications,GEO,"35,786","35,803",2.02E-04,0,1436.1,"5,600",16/03/2017,15 yrs.,Cape Canaveral,Falcon 9
Echostar 7 ,USA,"Echostar Satellite Services, LLC,USA",Commercial,Communications,GEO,"35,782","35,789",8.30E-05,0.01,1436.07,"4,027",21/02/2002,12 yrs.,Cape Canaveral,Atlas 3B
"Echostar 9/Galaxy 23 (G-23, Intelsat 1A-13, Telstar 13)",USA,"Echostar Satellite Services, LLC/Intelsat ,USA",Commercial,Communications,GEO,"35,775","35,797",2.61E-04,0.01,1436.08,"4,000",8/8/2003,13 yrs.,Sea Launch Odyssey,Zenit 3SL
"Echostar G1 (ICO G1, DBSD G1)",USA,"Echostar Satellite Services, LLC,USA",Commercial,Communications,GEO,"35,773","35,799",3.08E-04,5.73,1436.1,"6,600",14/04/2008,15 yrs.,Cape Canaveral,Atlas 5
"EKS-1 (Integrated Space System, Cosmos 2510, Tundra 11L)",Russia,"Ministry of Defense,Russia",Military,Earth Observation,Elliptical,"1,606","38,662",6.99E-01,63,715,null,17/11/2015,null,Plesetsk Cosmodrome,Soyuz 2.1
"EKS-2 (Integrated Space System, Cosmos 2518, Tundra 12L)",NR (9/17),"Ministry of Defense,Russia",Military,Earth Observation,Elliptical,"1,650","38,511",6.97E-01,63.8,713.8,null,25/05/2017,null,Plesetsk Cosmodrome,Soyuz 2.1b
Electro-L1 (GOMS 2 [Geostationary Operational Meteorological Satellite 2],Russia,"Roshydromet - Planeta,Russia",Government,Earth Observation,GEO,"35,323","35,750",5.09E-03,0.46,1423.35,"1,766",20/01/2011,10 yrs.,Baikonur Cosmodrome,Zenit
Electro-L2 ,Russia,"Roshydromet - Planeta,Russia",Government,Earth Observation,GEO,"35,694","35,815",1.44E-03,0.45,1434.47,"1,800",11/12/2015,10 yrs.,Baikonur Cosmodrome,Zenit
ELISA-E12 (ELectronic Intelligence by SAtellite),France,"DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),France",Military,Earth Observation,LEO,675,692,1.21E-03,98.21,98.43,120,17/12/2011,null,Guiana Space Center,Soyuz 2/Fregat
ELISA-E24 (ELectronic Intelligence by SAtellite),France,"DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),France",Military,Earth Observation,LEO,675,692,1.21E-03,98.21,98.43,120,17/12/2011,null,Guiana Space Center,Soyuz 2/Fregat
ELISA-W11 (ELectronic Intelligence by SAtellite),France,"DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),France",Military,Earth Observation,LEO,677,692,1.06E-03,98.21,98.45,120,17/12/2011,null,Guiana Space Center,Soyuz 2/Fregat
ELISA-W23 (ELectronic Intelligence by SAtellite),France,"DGA (Arms Procurement Agency)/Centre National d'Etudes Spatiales (CNES),France",Military,Earth Observation,LEO,677,692,1.06E-03,98.21,98.46,120,17/12/2011,null,Guiana Space Center,Soyuz 2/Fregat
EOS-AM Terra ,USA,"Earth Sciences Enterprise (NASA),USA/Canada/Japan",Government,Earth Observation,LEO,702,703,7.07E-05,98.2,98.8,"4,854",18/12/1999,6 yrs.,Vandenberg AFB,Atlas 2AS
EOS-CHEM Aura ,USA,"Goddard Space Flight Center/EOS Data and Operations System,USA",Government,Earth Observation,LEO,702,703,7.07E-05,98.2,98.8,"2,967",15/07/2004,5+ yrs.,Vandenberg AFB,Delta 2
