NameofSatellite,Country/Org of UN Registry,Owner,Users,Purpose,ClassOfOrbit,Perigee (km),Apogee (km),Eccentricity,Inclination,Period (minutes),Launch Mass (kg.),Date of Launch,Expected Lifetime,Launch Site,Launch Vehicle
Kondor (Cosmos 2487),Russia,"Ministry of Defense,Russia",Military,Earth Observation,LEO,497,501,2.91E-04,74.73,94.6,"1,150",27/06/2013,null,Baikonur Cosmodrome,Strela
Koreasat 5 (Mugungwha 5),South Korea,"KT Corporation/Korean Agency for Defense Development (ADD),South Korea",Military/Commercial,Communications,GEO,"35,780","35,792",1.42E-04,0.02,1436.1,"4,450",22/08/2006,null,Sea Launch Odyssey,Zenit 3SL
Koreasat 6 (Mugungwha 6),South Korea,"KT Corporation,South Korea",Commercial,Communications,GEO,"35,780","35,794",1.66E-04,0.05,1436.12,"2,850",29/12/2010,15 yrs.,Guiana Space Center,Ariane 5
Koreasat 7 (Mugungwha 7),NR (9/17),"KT Corporation,South Korea",Commercial,Communications,GEO,"35,781","35,791",1.19E-04,0,1436.08,"3,680",4/5/2017,15 yrs.,Guiana Space Center,Ariane 5
"Lacrosse/Onyx 3 (Lacrosse-3, USA 133)",USA,"National Reconnaissance Office (NRO),USA",Military,Earth Observation,LEO,671,675,2.84E-04,57,98.2,"14,500",24/10/1997,5 yrs.,Vandenberg AFB,Titan IV
"Lacrosse/Onyx 4 (Lacrosse-4, USA 152)",USA,"National Reconnaissance Office (NRO),USA",Military,Earth Observation,LEO,574,676,7.29E-03,68,97.21,"14,500",17/08/2000,9 yrs.,Vandenberg AFB,Titan IV
"Lacrosse/Onyx 5 (Lacrosse-5, NROL 16, USA 182)",USA,"National Reconnaissance Office (NRO),USA",Military,Earth Observation,LEO,713,716,2.12E-04,57.01,99.08,"14,500",30/04/2005,9 yrs.,Cape Canaveral,Titan 4B
Landsat 7 ,USA,"National Aeronautics and Space Administration (NASA)/US Geological Survey,USA",Government,Earth Observation,LEO,702,703,7.07E-05,98.2,98.8,"2,744",15/04/1999,15 yrs.,Vandenberg AFB,Delta 2
Landsat 8,USA,"National Aeronautics and Space Administration (NASA)/US Geological Survey,USA",Government,Earth Observation,LEO,700,705,3.53E-04,98.2,98.8,"2,780",11/2/2013,5 yrs.,Vandenberg AFB,Atlas 5
LaoSat-1,NR,"Laos National Authority for Science and Technology,Laos",Government,Communications,GEO,"35,788","35,800",1.42E-04,0.1,"1,436.10","3,800",20/11/2015,15 yrs.,Xichang Satellite Launch Center,Long March 3B
LAPAN A2,NR,"Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Indonesia",Government,Earth Observation,LEO,631,650,1.36E-03,6,97.53,68,24/09/2015,null,Satish Dhawan Space Centre,PSLV C-30
LAPAN A3,NR (12/16),"Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Indonesia",Government,Earth Observation,LEO,501,517,1.16E-03,97.5,94.8,115,22/06/2016,null,Satish Dhawan Space Centre,PSLV XL
LAPAN-Tubsat (LAPAN A1),NR,"Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Indonesia",Government,Earth Observation/Technology Development,LEO,617,637,1.43E-03,97.7,97.2,60,10/1/2007,null,Satish Dhawan Space Centre,PSLV C7
LatinSat A,NR,"Aprize Satellite Argentina,Argentina",Commercial,Communications,LEO,610,668,4.14E-03,64.6,97.5,null,20/12/2002,null,Baikonur Cosmodrome,Dnepr LV
LatinSat B ,NR,"Aprize Satellite Argentina,Argentina",Commercial,Communications,LEO,603,717,8.11E-03,64.6,97.9,null,20/12/2002,null,Baikonur Cosmodrome,Dnepr LV
Lemur-1,USA,"Spire Global Inc.,USA",Commercial,Technology Development,LEO,612,697,6.05E-03,97.98,97.82,4,19/06/2014,null,Dombarovsky Air Base,Dnepr
Lemur-2 Chris (Lemur-2 F4),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,635,649,9.98E-04,6,97.57,10,28/09/2015,null,Satish Dhawan Space Centre,PSLV C-30
Lemur-2 Jeroen (Lemur-2 F3),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,635,649,9.98E-04,6.01,97.57,10,28/09/2015,null,Satish Dhawan Space Centre,PSLV C-30
Lemur-2 Joel (Lemur-2 F1),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,629,649,1.43E-03,6,97.49,10,28/09/2015,null,Satish Dhawan Space Centre,PSLV C-30
Lemur-2 Peter (Lemur-2 F2),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,634,650,1.14E-03,6.01,97.56,10,28/09/2015,null,Satish Dhawan Space Centre,PSLV C-30
Lemur-2-AndiS (Lemur 2F47),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,586,598,8.62E-04,97.6,96.5,10,14/07/2017,null,Baikonur Cosmodrome,Soyuz 2.1a
Lemur-2-Angela (Lemur 2F31),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,476,490,1.02E-03,51.64,94.2,10,18/04/2017,null,International Space Station - Cygnus,Nanoracks Deployer
Lemur-2-Anubhavthakur (Lemur 2-F16),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,498,507,6.55E-04,51.6,94.6,10,17/10/2016,null,Wallops Island Flight Facility,Antares 230
Lemur-2-ArtFischer (Lemur 2F43),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,585,601,1.15E-03,97.6,96.5,10,14/07/2017,null,Baikonur Cosmodrome,Soyuz 2.1a
Lemur-2-Austintacious (Lemur2-F20),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,396,408,8.86E-04,51.6,92.6,10,9/12/2016,null,International Space Station - Cygnus,Nanorack Deployer
Lemur-2-Dembitz (Lemur 2F49),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,586,596,7.18E-04,97.6,96.5,10,14/07/2017,null,Baikonur Cosmodrome,Soyuz 2.1a
Lemur-2-Furiaus (Lemur 2F45),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,584,601,1.22E-03,97.6,96.5,10,14/07/2017,null,Baikonur Cosmodrome,Soyuz 2.1a
Lemur-2-Greenberg (Lemur 2F42),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,585,602,1.22E-03,97.6,96.5,10,14/07/2017,null,Baikonur Cosmodrome,Soyuz 2.1a
Lemur-2-JennyBarna (Lemur 2F30),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,476,490,1.02E-03,51.64,94.2,10,18/04/2017,null,International Space Station - Cygnus,Nanoracks Deployer
Lemur-2-Jobanputra (Lemur 2-F22),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,496,507,8.00E-04,97.5,94.6,10,15/02/2017,null,Satish Dhawan Space Centre,PSLV-XL
Lemur-2-KungFoo (Lemur 2F37),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,496,510,1.02E-03,97.45,94.6,10,23/06/2017,null,Satish Dhawan Space Centre,PSLV
Lemur-2-Lisasaurus (Lemur 2F40),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,496,508,8.73E-04,97.45,94.6,10,23/06/2017,null,Satish Dhawan Space Centre,PSLV
Lemur-2-LucyBryce (Lemur 2F36),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,496,511,1.09E-03,97.45,94.6,10,23/06/2017,null,Satish Dhawan Space Centre,PSLV
Lemur-2-Lynsey-Symo (Lemur 2F41),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,496,508,8.73E-04,97.45,94.6,10,23/06/2017,null,Satish Dhawan Space Centre,PSLV
Lemur-2-McPeake (Lemur 2F38),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,496,510,1.02E-03,97.45,94.6,10,23/06/2017,null,Satish Dhawan Space Centre,PSLV
Lemur-2-Mia-Grace (Lemur 2F27),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,496,507,8.00E-04,97.5,94.6,10,15/02/2017,null,Satish Dhawan Space Centre,PSLV-XL
Lemur-2-Monson (Lemur 2F44),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,585,601,1.15E-03,97.6,96.5,10,14/07/2017,null,Baikonur Cosmodrome,Soyuz 2.1a
Lemur-2-NoguesCorreig (Lemur 2F28),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,496,507,8.00E-04,97.5,94.6,10,15/02/2017,null,Satish Dhawan Space Centre,PSLV-XL
Lemur-2-PeterG (Lemur 2F48),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,586,596,7.18E-04,97.6,96.5,10,14/07/2017,null,Baikonur Cosmodrome,Soyuz 2.1a
Lemur-2-Rdeaton (Lemur 2-F25),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,496,507,8.00E-04,97.5,94.6,10,15/02/2017,null,Satish Dhawan Space Centre,PSLV-XL
Lemur-2-Redfern-Goes (Lemur 2-F21),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,397,408,8.12E-04,51.6,92.6,10,9/12/2016,null,International Space Station - Cygnus,Nanorack Deployer
Lemur-2-RobMoore) (Lemur 2F33),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,476,490,1.02E-03,51.64,94.2,10,18/04/2017,null,International Space Station - Cygnus,Nanoracks Deployer
Lemur-2-Sam-Amelia (Lemur 2F39),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,496,509,9.46E-04,97.45,94.6,10,23/06/2017,null,Satish Dhawan Space Centre,PSLV
Lemur-2-Satchmo (Lemur 2-F24),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,496,507,8.00E-04,97.5,94.6,10,15/02/2017,null,Satish Dhawan Space Centre,PSLV-XL
Lemur-2-ShainaJohl (Lemur 2F34),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,496,511,1.09E-03,97.45,94.6,10,23/06/2017,null,Satish Dhawan Space Centre,PSLV
Lemur-2-Smita-Sharad (Lemur 2-F26),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,496,507,8.00E-04,97.5,94.6,10,15/02/2017,null,Satish Dhawan Space Centre,PSLV-XL
Lemur-2-Sokolsky (Lemur 2-F14),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,498,507,6.55E-04,51.6,94.6,10,17/10/2016,null,Wallops Island Flight Facility,Antares 230
Lemur-2-Spire-Minions (Lemur 2F23),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,496,507,8.00E-04,97.5,94.6,10,15/02/2017,null,Satish Dhawan Space Centre,PSLV-XL
Lemur-2-SpiroVision) (Lemur 2F32),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,477,489,8.76E-04,51.64,94.2,10,18/04/2017,null,International Space Station - Cygnus,Nanoracks Deployer
Lemur-2-Tachikoma (Lemur 2F29),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,496,507,8.00E-04,97.5,94.6,10,15/02/2017,null,Satish Dhawan Space Centre,PSLV-XL
Lemur-2-Trutna (Lemur 2-F18),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,396,408,8.86E-04,51.6,92.6,10,9/12/2016,null,International Space Station - Cygnus,Nanorack Deployer
Lemur-2-TrutnaHD (Lemur 2-F19),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,397,406,6.65E-04,51.6,92.6,10,9/12/2016,null,International Space Station - Cygnus,Nanorack Deployer
Lemur-2-Wingo (Lemur 2-F17),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,498,507,6.55E-04,51.6,94.6,10,17/10/2016,null,Wallops Island Flight Facility,Antares 230
Lemur-2-Xiaoqing (Lemur-2 F15),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,498,507,6.55E-04,51.6,94.6,10,17/10/2016,null,Wallops Island Flight Facility,Antares 230
Lemur-2-XueniTerence (Lemur 2F35),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,496,511,1.09E-03,97.45,94.6,10,23/06/2017,null,Satish Dhawan Space Centre,PSLV
Lemur-2-Zachary (Lemur 2F46),NR,"Spire Global Inc.,USA",Commercial,Earth Observation,LEO,587,597,7.18E-04,97.6,96.5,10,14/07/2017,null,Baikonur Cosmodrome,Soyuz 2.1a
"LilacSat-1 (QB50-CN02, Zidingxiang-1)",NR (10/17),"Harbin Institute of Technology,China",Civil,Earth Science,LEO,402,403,7.38E-05,51.6,92.6,4,26/05/2017,null,International Space Station,Nanorack Deployer
"LilacSat-2 (CAS-3H, Zidingxiang-2)",NR,"Harbin Institute/China Amateur Satellite - CAMSAT,China",Civil,Technology Development,LEO,520,541,1.52E-03,97.47,95.24,11,19/09/2015,null,Taiyuan Launch Center,Long March 6
Ling Qiao,NR,"Xinwei Telecom Technology Company,China",Commercial,Technology Development,LEO,779,808,2.02E-03,98.47,100.73,100,4/9/2014,null,Jiuquan Satellite Launch Center,Long March 2D
"LINK (QB50-KR01, Little Intelligent Nanosatellite of KAIST)",NR (10/17),"Korean Advanced Institute of Science and Technology (KAIST),South Korea",Government,Space Science,LEO,401,404,2.21E-04,51.6,92.4,3,18/05/2017,.25 yrs.,International Space Station,Nanorack Deployer
Lituanicasat-2,NR (10/17),"Vilnius University,Lithuania",Civil,Technology Development,LEO,496,512,1.16E-03,97.45,94.69,3,22/06/2017,null,Satish Dhawan Space Centre,PSLV
LMRSTSat (Low Mass Radio Science Transponder Satellite),NR,"National Aeronautics and Space Administration (NASA) Jet Propulsion Laboratory,USA",Government,Technology Demonstration,LEO,493,800,2.19E-02,64.78,97.65,3,8/10/2015,null,Cape Canaveral,Atlas 5
Lotos-S1 (Cosmos 2455),Russia,"Ministry of Defense,Russia",Military,Earth Observation,LEO,900,911,7.56E-04,67.2,103.1,"5,000",20/11/2009,null,Plesetsk Cosmodrome,Soyuz U
Lotos-S2 (Cosmos 2502),Russia,"Ministry of Defense,Russia",Military,Earth Observation,LEO,901,910,6.19E-04,67.15,103.11,"5,000",23/12/2014,null,Plesetsk Cosmodrome,Soyuz 2-1b
"LQSat (Lingqiao Satellite, Jilian 1A)",NR,"Changchun Institute of Optics,China",Commercial,Earth Observation,LEO,640,663,1.64E-03,98.04,97.77,55,7/10/2015,null,Jiuquan Satellite Launch Center,Long March 2D
Luch 5A,Russia,"Russian Federal Space Agency,Russia",Government,Communications,GEO,"35,778","35,793",1.78E-04,4.85,1436.8,950,11/12/2011,null,Baikonur Cosmodrome,Proton M
Luch 5B,Russia,"Russian Federal Space Agency,Russia",Government,Communications,GEO,"35,772","35,801",3.44E-04,0.22,1436.09,"1,282",2/11/2012,null,Baikonur Cosmodrome,Proton M
Luch 5V,Russia,"Russian Federal Space Agency,Russia",Government,Communications,GEO,"35,767","35,802",4.15E-04,4.76,1435.99,"1,148",28/04/2014,10 yrs.,Baikonur Cosmodrome,Proton M
Luch/Olympus,Russia,"Ministry of Defense,Russia",Military,Communications,GEO,"35,781","35,793",1.42E-04,0.05,1436.12,null,27/09/2014,15 yrs.,Baikonur Cosmodrome,Proton M
M3MSat (Maritime Monitoring and Messaging Microsatellite),NR (12/16),"Defence Research and Development Canada (DRDC)/Canadian Space Agency,Canada",Government,Earth Observation,LEO,501,515,1.02E-03,97.5,94.7,85,22/06/2016,null,Satish Dhawan Space Centre,PSLV XL
Maroc Tubsat ,NR,"CTRS Morocco/Institut für Luft-und Raumfahrttechnik (Berlin),Morocco/Germany",Government,Technology Development,LEO,984,"1,014",2.04E-03,99.2,105.1,47,10/12/2001,2-3 yrs.,Baikonur Cosmodrome,Zenit
Max Valier,NR (10/17),"Max Valier school Bolzano, Italy, Oskar von Miller school, Merano, Italy,Italy",Civil,Space Science/Technology Development,LEO,496,516,1.45E-03,97.45,94.7,16,23/06/2017,null,Satish Dhawan Space Centre,PSLV
Mazaalai (Bird MM),NR (10/17),"Kyushu Institute of Technology (KIT),Mongolia",Civil,Communications,LEO,401,410,6.64E-04,51.6,92.6,2,7/7/2017,null,International Space Station,Nanorack Deployer
M-Cubed/E1P-U2 (Michigan Multipurpose Minisat; Explorer 1 Prime - Unit 2 -  HRBE [William A. Hiscock Radiation Belt Explorer]),USA,"University of Michigan/Montana University,USA",Civil,Technology Development,LEO,442,724,2.03E-02,101.7,97.45,2,28/10/2011,null,Vandenberg AFB,Delta 7920
Measat 2 (Malaysia East Asia Sat 2),Malaysia,"MEASAT Satellite Systems Sdn. Bhd.,Malaysia",Commercial,Communications,GEO,"35,782","35,791",1.07E-04,1.09,1436.12,"1,450",14/11/1996,11.5 yrs.,Guiana Space Center,Ariane 44L
Measat 3 (Malaysia East Asia Sat 3),Malaysia,"MEASAT Satellite Systems Sdn. Bhd.,Malaysia",Commercial,Communications,GEO,"35,778","35,794",1.90E-04,0,1436.1,"4,900",11/12/2006,15 yrs.,Baikonur Cosmodrome,Proton M
Measat 3A (Malaysia East Asia Sat 3A),Malaysia,"MEASAT Satellite Systems Sdn. Bhd.,Malaysia",Commercial,Communications,GEO,"35,728","35,788",7.12E-04,0.04,1434.6,"2,417",21/06/2009,15 yrs.,Baikonur Cosmodrome,Zenit 3SLB
Measat 3B (Malaysia East Asia Sat 3B),Malaysia,"MEASAT Satellite Systems Sdn. Bhd.,Malaysia",Commercial,Communications,GEO,"35,772","35,802",3.56E-04,0.05,1436.11,"5,800",11/9/2014,15 yrs.,Guiana Space Center,Ariane 5 ECA
Megha-Tropiques,India,"Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES),India/France",Government,Earth Observation,LEO,853,868,1.04E-03,20,102.2,"1,000",12/10/2011,5 yrs.,Satish Dhawan Space Centre,PSLV
"Mercury 1 (Advanced Vortex 1, USA 105)",USA,"National Reconnaissance Office (NRO)/USAF,USA",Military,Earth Observation,GEO,"35,598","35,976",4.48E-03,5.1,1436.13,"8,000",27/08/1994,null,Cape Canaveral,Titan IVA
"Mercury 2 (Advanced Vortex 2, USA 118)",USA,"National Reconnaissance Office (NRO)/USAF,USA",Military,Earth Observation,GEO,"33,674","37,900",5.01E-02,7.33,1436.12,"8,000",24/04/1996,null,Cape Canaveral,Titan IVA
"Mercury 3 (NROL 67, USA 250)",USA,"National Reconnaissance Office (NRO)/USAF,USA",Military,Earth Observation,GEO,"35,500","35,500",0.00E+00,7,1436,"3,900",10/4/2014,null,Cape Canaveral,Atlas 5
Meridian-3,Russia,"Military Space Forces (VKS),Russia",Military,Communications,Elliptical,"2,253","38,105",6.75E-01,62.85,645.98,"2,500",2/11/2010,null,Plesetsk Cosmodrome,Soyuz 2-1a
Meridian-4,Russia,"Military Space Forces (VKS),Russia",Military,Communications,Elliptical,"1,722","38,637",6.95E-01,64.47,717.88,"2,500",4/5/2011,null,Plesetsk Cosmodrome,Soyuz 2-1a
Meridian-6 (Meridian 16L),Russia,"Military Space Forces (VKS),Russia",Military,Communications,Elliptical,"1,494","38,860",7.04E-01,63.77,718.04,"2,500",14/11/2012,7 yrs.,Plesetsk Cosmodrome,Soyuz 2-1a
Meridian-7 (Meridian 17L),Russia,"Military Space Forces (VKS),Russia",Military,Communications,Elliptical,962,"39,398",7.24E-01,62.82,717.88,"2,500",30/10/2014,7 yrs.,Plesetsk Cosmodrome,Soyuz 2-1a
Meteor-M N-2,Russia,"Russian Federal Service For Hydrometeorology and Environmental Monitoring (ROSHYDROMET),Russia",Government,Earth Observation,LEO,819,828,6.26E-04,98.81,101.3,"2,778",8/7/2014,5 yrs.,Baikonur Cosmodrome,Soyuz 2-1b
"Meteosat 10 (MSGalaxy-3,MSG 3)",EUMETSAT,"EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Multinational",Government/Civil,Earth Observation,GEO,"35,784","35,791",8.30E-05,1.8,1436.15,"2,000",5/7/2012,7 yrs.,Guiana Space Center,Ariane 5 ECA
Meteosat 11 (MSG 4),EUMETSAT,"EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Multinational",Government/Civil,Earth Observation,GEO,"35,791","35,795",4.74E-05,3.1,1436.1,"2,000",15/07/2015,12 yrs.,Guiana Space Center,Ariane 5 ECA
"Meteosat 8 (MSGalaxy-1, MSG-1)",EUMETSAT/ESA,"EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Multinational",Government/Civil,Earth Observation,GEO,"35,781","35,793",1.42E-04,0.46,1436.1,"2,000",21/08/2002,12 yrs.,Guiana Space Center,Ariane 5
"Meteosat 9 (MSGalaxy-2, MSG 2)",EUMETSAT,"EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Multinational",Government/Civil,Earth Observation,GEO,"35,775","35,795",2.37E-04,0.29,1436,"2,000",21/12/2005,12 yrs.,Guiana Space Center,Ariane 5G
MetOp-A (Meteorological Operational satellite),EUMETSAT,"ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Multinational",Government/Civil,Earth Observation,LEO,820,821,6.95E-05,98.7,101.3,"4,193",19/10/2006,5 yrs.,Baikonur Cosmodrome,Soyuz-Fregat (Soyuz 2)
MetOp-B (Meteorological Operational satellite),EUMETSAT,"ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Multinational",Government/Civil,Earth Observation,LEO,819,822,2.09E-04,98.7,101.3,"4,085",17/09/2012,5 yrs.,Baikonur Cosmodrome,Soyuz 2-1a
Mexsat-3 (Mexsat Bicentenario),Mexico,"Mexico Telecomm,Mexico",Government/Military,Communications,GEO,"35,784","35,791",8.30E-05,0.07,1436.16,"2,900",19/12/2012,15 yrs.,Guiana Space Center,Atlas 5 ECA
Mexsat3 (Morelos-3),Mexico,"Mexico Telecomm,Mexico",Government,Communications,GEO,"35,767","35,805",4.51E-04,7.12,"1,436","5,325",2/10/2015,15 yrs.,Cape Canaveral,Atlas 5
MICROSCOPE (MICRO-Satellite à traînée Compensée pour l'Observation du Principe d'Equivalence),NR (12/16),"Centre National d'Etudes Spatiales (CNES),ESA",Government,Space Science,LEO,711,715,2.82E-04,98.23,99,300,25/04/2016,1 yr.,Guiana Space Center,Soyuz 2.1a
Mikhailo Lomonosov (MVL-300),Russia,"Moscow State University,Russia",Civil/Government,Space Science,LEO,469,487,1.31E-03,97.27,94,645,27/04/2016,3 yrs.,Vostochny Cosmodrome,Soyuz 2.1a
"Milstar DFS-1 (USA 99, Milstar 1-F1) (Military Strategic and Tactical Relay)",USA,"US Air Force,USA",Military,Communications,GEO,"35,754","35,819",7.71E-04,5.99,1436.13,"4,536",7/2/1994,10 yrs.,Cape Canaveral,Titan 4A
"Milstar DFS-2 (USA 115, Milstar 1-F2) (Military Strategic and Tactical Relay)",USA,"US Air Force,USA",Military,Communications,GEO,"35,765","35,809",5.22E-04,0.35,1436.13,"4,536",6/11/1995,10 yrs.,Cape Canaveral,Titan 4A
"Milstar DFS-4 (USA 157, Milstar 2-F2) (Military Strategic and Tactical Relay)",USA,"US Air Force,USA",Military,Communications,GEO,"35,764","35,768",4.75E-05,4.5,1435.04,"4,536",27/02/2001,12 yrs.,Cape Canaveral,Titan 4B
"Milstar DFS-5 (USA 164, Milstar 2-F3) (Military Strategic and Tactical Relay)",USA,"US Air Force,USA",Military,Communications,GEO,"35,753","35,820",7.95E-04,3.45,1436.12,"4,536",16/01/2002,12 hrs.,Cape Canaveral,Titan 4B
Milstar DFS-6 (USA 169) (Military Strategic and Tactical Relay),USA,"US Air Force,USA",Military,Communications,GEO,"35,768","35,806",4.51E-04,0.82,1436.13,"4,536",8/4/2003,12 yrs.,Cape Canaveral,Titan 4B
MKA-1,NR (10/17),"Roscosmos State Corporation,Russia",Government,Earth Observation,LEO,586,604,1.29E-03,97.6,96.6,10,14/07/2017,null,Baikonur Cosmodrome,Soyuz 2.1a
MKA-2,NR (10/17),"Roscosmos State Corporation,Russia",Government,Earth Observation,LEO,586,602,1.15E-03,97.6,96.6,10,14/07/2017,null,Baikonur Cosmodrome,Soyuz 2.1a
MMS-1 (Magnetospheric Multiscale Mission),NR,"National Aeronautics and Space Administration (NASA),USA",Government,Space Science,Elliptical,"1,375","70,009",8.16E-01,28.9,"1,433","1,360",13/03/2015,3 yrs.,Cape Canaveral,Atlas 5
MMS-2 (Magnetospheric Multiscale Mission),NR,"National Aeronautics and Space Administration (NASA),USA",Government,Space Science,Elliptical,"1,357","70,117",8.16E-01,29,"1,433","1,360",13/03/2015,3 yrs.,Cape Canaveral,Atlas 5
MMS-3 (Magnetospheric Multiscale Mission),NR,"National Aeronautics and Space Administration (NASA),USA",Government,Space Science,Elliptical,"1,429","70,045",8.15E-01,29,"1,433","1,360",13/03/2015,3 yrs.,Cape Canaveral,Atlas 5
MMS-4 (Magnetospheric Multiscale Mission),NR,"National Aeronautics and Space Administration (NASA),USA",Government,Space Science,Elliptical,"1,317","70,157",8.17E-01,29,"1,433","1,360",13/03/2015,3 yrs.,Cape Canaveral,Atlas 5
MOST (Microvariability & Oscillations of STars),Canada,"Canadian Space Agency,Canada",Government,Space Science,LEO,817,832,1.04E-03,98.7,101.4,53,30/06/2003,1 yr.,Plesetsk Cosmodrome,Rokot
Mozhayets 4 (RS-22),Russia,"Mozhaisky Space Engineering Academy,Russia",Civil,Technology Development,LEO,669,690,1.49E-03,97.8,98.3,64,27/09/2003,null,Plesetsk Cosmodrome,Kosmos 3M
MSAT 1 ,Canada,"Mobile Satellite Ventures,USA/Canada",Commercial,Communications,GEO,"35,763","35,809",5.46E-04,1.37,1436.09,"2,850",20/04/1996,12 yrs.,Guiana Space Center,Ariane 42P
"MSAT 2 (AMSC-1, ACTel-1)",USA,"Mobile Satellite Ventures,USA/Canada",Commercial,Communications,GEO,"35,776","35,796",2.37E-04,4.02,1436.09,"2,850",7/4/1995,10 yrs.,Cape Canaveral,Atlas 2A
MTI (Multispectral Thermal Imager),USA,"US Department of Energy/Office of Nonproliferation and National Security,USA",Government/Military,Technology Development,LEO,461,478,1.24E-03,97.47,94.9,587,12/3/2000,3 yrs.,Vandenberg AFB,Taurus
MTSAT-2 (Multi-Functional Transport Satellite),Japan,"Japan Meteorological Agency/Meteorological Satellite Center (MSC),Japan",Government,Earth Observation,GEO,"35,776","35,797",2.49E-04,0.01,1436.1,"2,900",18/02/2006,5 yrs.,Tanegashima Space Center,H2A
MUOS-1 (Mobile User Objective System 1),USA,"DoD/US Navy,USA",Military,Communications,GEO,"35,569","36,006",5.18E-03,3.73,1436.1,"6,804",24/02/2012,10-12 yrs.,Cape Canaveral,Atlas 5
MUOS-2 (Mobile User Objective System 2),USA,"DoD/US Navy,USA",Military,Communications,GEO,"35,550","36,023",5.61E-03,4.11,1436.1,"6,804",19/07/2013,10-12 yrs.,Cape Canaveral,Atlas 5
MUOS-3 (Mobile User Objective System 3),USA,"DoD/US Navy,USA",Military,Communications,GEO,"35,576","35,998",5.01E-03,4.57,1436.1,"6,804",21/01/2015,null,Cape Canaveral,Atlas 5
MUOS-4 (Mobile User Objective System 4),NR (12/16),"DoD/US Navy,USA",Military,Communications,GEO,"35,576","35,997",4.99E-03,4.8,1436.1,"6,804",2/9/2015,null,Cape Canaveral,Atlas 5
MUOS-5 (Mobile User Objective System 5),NR (12/16),"DoD/US Navy,USA",Military,Communications,GEO,"35,576","35,998",5.01E-03,4.5,1436.1,"6,804",24/06/2016,null,Cape Canaveral,Atlas 5
NanoACE,NR (10/17),"Tyvak Nanosatellite Systems, Inc.,USA",Commercial,Technology Development,LEO,486,602,8.39E-03,97.6,96.6,6,14/07/2017,null,Baikonur Cosmodrome,Soyuz 2.1a
Nanosat-1,Spain,"Instituto Nacional de Técnia Aeroespacial (INTA),Spain",Government,Communications,LEO,654,659,3.56E-04,98.4,97.9,20,18/12/2004,null,Guiana Space Center,Ariane 5G
